 ;Piraeus;Neo Faliro;Moschato;Kallithea;Tavros;Petralona;Thissio;Monastiraki;Omonia;Victoria;Attiki;Aghios Nikolaos;Kato Patissia;Aghios Eleftherios;Ano Patissia;Perissos;Pefkakia;Nea Ionia;Iraklio;Irini;Neratziotissa;Maroussi;KAT;Kifissia;Aghios Antonios;Sepolia;Attiki;Larissa Station;Metaxourghio;Omonia;Panepistimio;Syntagma;Akropoli;Sygrou-Fix;Neos Kosmos;Aghios Ioannis;Dafni;Aghios Dimitrios;Egaleo;Eleonas;Kerameikos;Monastiraki;Syntagma;Evangelismos;Megaro Moussikis;Ambelokipi;Panormou;Katehaki;Ethniki Amyna;Holargos;Nomismatokopio;Aghia Paraskevi;Halandri;Doukissis Plakentias;Pallini;Paiania-Kantza;Koropi;Airport
Piraeus;0.0;1.99102125759778;3.3306730346994726;4.886083108574631;4.924609056196667;6.16755763785882;7.397767455757536;7.838024371726034;8.259313881253288;9.059717886069048;8.957928821643671;9.875515922148786;10.23581155079343;11.160577099048798;11.627270319939909;12.877532838212508;13.549079690028314;14.188175745826298;16.449234143401057;16.133605429418534;16.976571180392934;18.52344563235061;19.144220499066854;20.078313287065455;8.0837696481383;8.600035736718128;8.957928821643671;8.326504345603386;7.969651468454518;8.259313881253288;8.620572273717682;8.643689076608279;7.897311919183087;7.519552130643098;7.54660701995591;8.083432796832254;8.266486186104581;8.630308538203822;5.791960673444547;6.1968138348067825;6.812854197729984;7.838024371726034;8.643689076608279;9.610407088800422;10.205530662691055;10.910920179857992;11.654198442935137;12.738900946279351;13.599690851212646;14.68109130265667;15.758485260221702;19.437930404414583;19.493401228658424;18.738530794509185;19.493401228658424;20.36797161733689;22.577663436502686;26.54286836957563;
Neo Faliro;1.99102125759778;0.0;1.7364059367750324;3.262352550179821;3.613092472655558;4.634141388915531;5.956033967248111;6.3243077224038196;6.83784760316806;7.795923368865938;7.88091808223455;8.855763385169315;9.256395072595257;10.248971036655588;10.72542818801971;11.982960743392079;12.646200215778217;13.284638040341191;15.547147787839444;15.035401872602506;15.828173162613034;17.399186812784535;18.093651587398817;19.067405607391844;7.475883013241847;7.689690865781518;7.88091808223455;7.154708176348902;6.687944206720102;6.83784760316806;7.126435866239156;7.054808351799406;6.234907557156302;5.797076114949418;5.720987160653621;6.234538643731182;6.346592520160893;6.657660328236976;5.34541160518548;5.377707011222815;5.492193311982933;6.3243077224038196;7.054808351799406;7.975499787659089;8.588243897376406;9.370467789687023;10.157470280548502;11.189180005426874;12.07429109234668;13.170514309994456;14.244686556049396;17.90906121720383;17.962735143654346;17.232381811265476;17.962735143654346;18.57515534857375;20.58962219957541;24.586053226664585;
Moschato;3.3306730346994726;1.7364059367750324;0.0;1.5709212982796092;1.8969668171263279;2.915790676622651;4.224526295969661;4.6079154141241565;5.105706864299651;6.061747776117377;6.176061272203826;7.159597790108271;7.568759986437943;8.575422797327974;9.052368665823911;10.306641107599132;10.965263072008543;11.60160672223349;13.859215253489191;13.310280242805511;14.096957424271128;15.669538754896205;16.372835646427838;17.352190651427723;5.961944448159597;6.03669460195642;6.176061272203826;5.4338074944156;4.954128514976452;5.105706864299651;5.407462004930475;5.366850088995039;4.583611131046981;4.190361044370921;4.23410683018907;4.781487166781847;5.04391216795357;5.5569914641976395;4.020149396963922;3.8168926835249777;3.75789060535541;4.6079154141241565;5.366850088995039;6.312226339970341;6.9170840992539775;7.669414084439575;8.444855422301154;9.493941204264598;10.372103432388208;11.465004993996146;12.540992053246496;16.212234800968325;16.266507309383194;15.52840717191279;16.266507309383194;17.0373322943822;19.52386021228397;23.333863633525656;
Kallithea;4.886083108574631;3.262352550179821;1.5709212982796092;0.0;0.980429424577758;1.3817932259559103;2.7251491077769336;3.0644863833301494;3.604346555144245;4.645859522287234;4.902499914505628;5.89920917577337;6.328123185661984;7.36049102398446;7.833750211533421;9.069580605381491;9.712550384641407;10.340192770180925;12.576356521014405;11.916801432728764;12.673517141273427;14.25212195504323;14.990421110477905;15.986948515422647;5.14898872707558;4.919374522232796;4.902499914505628;4.109063206734662;3.555178009235668;3.604346555144245;3.8674685617360534;3.799723952182086;3.0144027530977247;2.6407483719138103;2.7798379890622624;3.3430738765487136;3.7411197531757376;4.4333757861584235;3.6906898095664804;3.058439056210168;2.3811843326090005;3.0644863833301494;3.799723952182086;4.7413099447388065;5.346717985070967;6.109759498394116;6.8952039089662005;7.931229762194183;8.813585248122404;9.908957027210134;10.98368790321226;14.651002982913806;14.704969588001049;13.971459948572958;14.704969588001049;15.492959567846562;18.262297130927806;21.93745135682532;
Tavros;4.924609056196667;3.613092472655558;1.8969668171263279;0.980429424577758;0.0;1.3729343307083064;2.477383890656038;2.9429764273746937;3.334705033964746;4.197382856119258;4.279120372021854;5.263691134449936;5.675160346515558;6.68705224905962;7.163840240613644;8.415925191061664;9.072557020053118;9.708038023790424;11.963962488038975;11.42233387246797;12.218376334798345;13.787727086839835;14.48121329370505;15.457638064604064;4.246668574955713;4.167080973414934;4.279120372021854;3.541744554206914;3.090646857081407;3.334705033964746;3.7075601223428793;3.791638652907968;3.172224180758266;2.9537069742499082;3.309655494728358;3.867516731093335;4.401940679038259;5.202425623368382;2.7118476649998247;2.117254866247073;1.9046366936184909;2.9429764273746937;3.791638652907968;4.785716377343581;5.3530971285778595;6.002931287443937;6.732296872864999;7.828211378689997;8.680501927327178;9.758425078387898;10.83562245086543;14.5154184458963;14.571101287302133;13.814228653226447;14.571101287302133;15.658099406523151;18.839952902478537;22.369984692453173;
Petralona;6.16755763785882;4.634141388915531;2.915790676622651;1.3817932259559103;1.3729343307083064;0.0;1.3487918780727093;1.6921876980491073;2.224346118043772;3.302710768529856;3.6670515576077545;4.6563438058048545;5.094807735623159;6.134702799168853;6.600648129682587;7.814482436323111;8.4436105354437;9.062987045293877;11.279594135608905;10.563751418983832;11.307992796761644;12.887884819420863;13.63953828069697;14.642895955449978;4.344845981197186;3.828312870559279;3.6670515576077545;2.8478712499943177;2.241105068996127;2.224346118043772;2.4928473961274733;2.4767133516184026;1.801097163412282;1.602898937380462;2.0710511025382927;2.6005288199094774;3.2380660301210824;4.149442292518427;3.505401502021795;2.5379011742256283;1.1603355292626691;1.6921876980491073;2.4767133516184026;3.4537835198035842;4.040441626737206;4.757670828076575;5.5290649806044145;6.584496598556012;7.458458549022499;8.550029842981449;9.626400886088527;13.299695927594644;13.354223716962935;12.61347106040362;13.354223716962935;14.303250192774456;17.531220689676942;21.00778375891715;
Thissio;7.397767455757536;5.956033967248111;4.224526295969661;2.7251491077769336;2.477383890656038;1.3487918780727093;0.0;0.5487479349029443;0.8819805497845249;1.9813367468698904;2.4940036383184276;3.4451755131868644;3.8877689310735737;4.922587605596398;5.375870582211724;6.558856248347884;7.171892214029386;7.7816544092750535;9.977186928656174;9.221350013797103;9.960218395705988;11.540399380253906;12.297648935326473;13.304560633192084;3.7223699163401442;2.8604035027927397;2.4940036383184276;1.6760496626643253;1.0096878030840553;0.8819805497845249;1.2342639164369222;1.4357195725362744;1.2764020747306564;1.5564007048466748;2.303427778733841;2.6429200936411394;3.4402577308701847;4.464741282051131;3.6710330447251285;2.5367634242839383;0.7539059380592867;0.5487479349029443;1.4357195725362744;2.4243082488860876;2.9382433652055915;3.5287950006128255;4.256446515994008;5.351903155670524;6.203405171987461;7.283332261776514;8.360742462458207;12.040172367449;12.095671417169637;11.342026525467915;12.095671417169637;13.285137012729747;17.05362059723191;20.29103737895421;
Monastiraki;7.838024371726034;6.3243077224038196;4.6079154141241565;3.0644863833301494;2.9429764273746937;1.6921876980491073;0.5487479349029443;0.0;0.6851582175476022;1.9127778089146945;2.612436691846907;3.493739927520109;3.931133807161811;4.944870292999011;5.379803148875827;6.518084729324288;7.107237717658577;7.701108946017073;9.857995066349574;9.010671786059175;9.716751155110652;11.297780463880928;12.084629154319508;13.103096458407533;4.105091911344967;3.1141094331143386;2.612436691846907;1.847669290030333;1.2030336704626312;0.6851582175476022;0.8031858290695857;0.8909760668804033;0.8733269725370043;1.3076778266109166;2.0592944670142135;2.3020783852923303;3.1168559842208983;4.151559732940789;4.208537363032313;3.0705749263177933;1.302632646678494;0.0;0.8909760668804033;1.8867200784486453;2.421143381695201;3.0734096305250564;3.8370078433297787;4.90153856716233;5.769712254346165;6.85938379880989;7.936162820593906;11.611353574075142;11.666125430485614;10.92267261219155;11.666125430485614;12.761387862794283;16.516252298835013;19.742301013205918;
Omonia;8.259313881253288;6.83784760316806;5.105706864299651;3.604346555144245;3.334705033964746;2.224346118043772;0.8819805497845249;0.6851582175476022;0.0;1.2279805431718938;1.977110193340756;2.821856790079399;3.256382873066204;4.264164590921742;4.696455794347161;5.833123823210755;6.423941409081715;7.019890386486817;9.185006718256634;8.371969571019973;9.09687486909567;10.677781521565272;11.448021952159896;12.46090101252761;3.677987019109645;2.5641788978369466;1.977110193340756;1.276412935881831;0.7423897273971924;0.0;0.5250635683223475;1.031854964314105;1.4803979885650083;1.9726056533496281;2.7122867036229024;2.896712323210794;3.7119727208541144;4.74482009920961;4.141474500458051;3.008649857569574;1.4817630173744412;0.6851582175476022;1.031854964314105;1.8484638565308782;2.2536305837757973;2.7142667277794845;3.4040080615936503;4.520417327421023;5.355273740031266;6.42680674864825;7.503472762219425;11.183249517610673;11.239179363139245;10.479921896591367;11.239179363139245;12.56330360469903;16.664312503440957;19.74300707414348;
Victoria;9.059717886069048;7.795923368865938;6.061747776117377;4.645859522287234;4.197382856119258;3.302710768529856;1.9813367468698904;1.9127778089146945;1.2279805431718938;0.0;0.9753842633402791;1.6283065846924538;2.050832073795147;3.0420237810862263;3.4696331030994196;4.608516887924607;5.206522727829516;5.809249879255733;7.996270589272622;7.271125638440459;8.038391961376641;9.614024468919805;10.344588723742255;11.343111361466082;3.1018935053905183;1.778864007512944;0.9753842633402791;0.8355820000389013;1.1081053835682229;1.2279805431718938;1.4193235061696674;1.9964681490185578;2.6741222964257285;3.191276644796645;3.9186697927477403;4.050047928362893;4.8551507237994;5.876578756258461;4.2527262538114305;3.229118182092947;2.303877455305109;1.9127778089146945;1.9964681490185578;2.3857665810263535;2.499630033101797;2.4973886310113036;2.932403579101508;4.091533516427636;4.817751154091552;5.81997092517927;6.876196497891422;10.52725853929436;10.585165256217916;9.798972416503469;10.585165256217916;12.345333753929156;17.04278751904886;19.853174690576125;
Attiki;8.957928821643671;7.88091808223455;6.176061272203826;4.902499914505628;4.279120372021854;3.6670515576077545;2.4940036383184276;2.612436691846907;1.977110193340756;0.9753842633402791;0.0;0.9967371255130394;1.4296536445872892;2.4684612495519613;2.937145046631292;4.167099190003359;4.81180588321028;5.44229220163774;7.690031347588489;7.185667907737598;8.018844130261563;9.570133373441456;10.224580913125497;11.189069113209419;2.2018313396580265;0.8451623002839137;0.0;0.8255487140554325;1.4843257580181024;1.977110193340756;2.30840505263811;2.89765297034253;3.4545375040517734;3.919699829691766;4.671417170697432;4.873714188443324;5.688627421063051;6.720674017507453;3.713384717017784;2.8447675217513653;2.5326851922962414;2.612436691846907;2.89765297034253;3.360218747608191;3.461182276383504;3.3527578633841943;3.646318616105438;4.77949570439473;5.413779769717006;6.340485116288073;7.361165536279127;10.949073802005508;11.008252949548186;10.204819213174098;11.008252949548186;13.057000025410755;17.97632103073043;20.700958473103846;
Aghios Nikolaos;9.875515922148786;8.855763385169315;7.159597790108271;5.89920917577337;5.263691134449936;4.6563438058048545;3.4451755131868644;3.493739927520109;2.821856790079399;1.6283065846924538;0.9967371255130394;0.0;0.44259871925757277;1.4808598477263912;1.9443043874069736;3.1703733434262187;3.8164114479184774;4.44836803729597;6.700486351425921;6.259331464261554;7.117000933502395;8.651476406806061;9.275665536950909;10.227980909834372;2.5075272062908396;1.343696447288935;0.9967371255130394;1.8084910061572117;2.4433561060731255;2.821856790079399;3.046330634730736;3.6172660746799963;4.29265306403742;4.794174420524008;5.532612236183772;5.678123510872528;6.4833895561462;7.503771186408303;4.433717516035209;3.6998958697336417;3.5282290275158297;3.493739927520109;3.6172660746799963;3.8660984498486064;3.8129273739207186;3.445527773393241;3.5028222203400294;4.5444765025230485;5.0431713674231675;5.863414879949561;6.830328541764945;10.326158343576244;10.386141027517516;9.572271914436218;10.386141027517516;12.744624072276808;18.089058655865493;20.591889060824073;
Kato Patissia;10.23581155079343;9.256395072595257;7.568759986437943;6.328123185661984;5.675160346515558;5.094807735623159;3.8877689310735737;3.931133807161811;3.256382873066204;2.050832073795147;1.4296536445872892;0.44259871925757277;0.0;1.0401012063083368;1.5075294440615246;2.7446239539327952;3.3975769969265017;4.03295571407741;6.291674515557711;5.91535660387552;6.790657596730615;8.309629476771596;8.908412424961785;9.849222392877623;2.654672810694612;1.6468283967398225;1.4296536445872892;2.2476279438807905;2.885681934180373;3.256382873066204;3.4629968728616434;4.026769321116166;4.722357546199932;5.2289700467832585;5.964528348713237;6.099026456003696;6.901056885393796;7.917547777902863;4.710533015765971;4.043897120196226;3.9621672312452234;3.931133807161811;4.026769321116166;4.221557625718118;4.123689304266788;3.674752934309157;3.6364312716476164;4.617973952061867;5.045270627006995;5.803067884033866;6.734752905525654;10.167653646553765;10.227942590263961;9.410280363365844;10.227942590263961;12.738918468542336;18.262876617631655;20.669623000608787;
Aghios Eleftherios;11.160577099048798;10.248971036655588;8.575422797327974;7.36049102398446;6.68705224905962;6.134702799168853;4.922587605596398;4.944870292999011;4.264164590921742;3.0420237810862263;2.4684612495519613;1.4808598477263912;1.0401012063083368;0.0;0.4769478736936967;1.734140792480906;2.4003126309279024;3.040271672275207;5.306080058267361;5.087483077824008;5.999032127212648;7.471763889433219;8.009480685352717;8.922350237638517;3.302949803654207;2.571530858202886;2.4684612495519613;3.287725270576807;3.9235418504823354;4.264164590921742;4.429460540997693;4.973882927867112;5.7136372209143165;6.23302416122845;6.959302133892416;7.064427767934133;7.8563912849953725;8.860863295121742;5.517910866730713;4.9664266125205705;4.999766618002615;4.944870292999011;4.973882927867112;5.053009690063143;4.864989484402295;4.262497871068357;4.027841497267072;4.839230778090041;5.08963874166666;5.68021846250627;6.5093224118654085;9.755502800831952;9.816127767895564;8.995170567476194;9.816127767895564;12.672803480249923;18.60253152423338;20.776771909224582;
Ano Patissia;11.627270319939909;10.72542818801971;9.052368665823911;7.833750211533421;7.163840240613644;6.600648129682587;5.375870582211724;5.379803148875827;4.696455794347161;3.4696331030994196;2.937145046631292;1.9443043874069736;1.5075294440615246;0.4769478736936967;0.0;1.2584032889561367;1.926499920377169;2.566684037678234;4.832512011583406;4.666850830061073;5.589846027768676;7.041640042411047;7.557820053146313;8.461711557287886;3.723109689661849;3.045032112876978;2.937145046631292;3.752790511193349;4.381731734387978;4.696455794347161;4.83691386340064;5.3686863108877665;6.132070476589976;6.65913559509725;7.37809328587318;7.4643510249616325;8.248960617462032;9.244810843919415;5.9636577741888335;5.435725909832315;5.469694021038067;5.379803148875827;5.3686863108877665;5.389244074053454;5.1604014957539635;4.4960695007184315;4.179218665611624;4.900132821451513;5.066050671601347;5.57230187012359;6.346716966689791;9.494164313093746;9.554763028754842;8.734898472009808;9.554763028754842;12.556697204963136;18.66455180275459;20.728232892024767;
Perissos;12.877532838212508;11.982960743392079;10.306641107599132;9.069580605381491;8.415925191061664;7.814482436323111;6.558856248347884;6.518084729324288;5.833123823210755;4.608516887924607;4.167099190003359;3.1703733434262187;2.7446239539327952;1.734140792480906;1.2584032889561367;0.0;0.6716702486927457;1.3108498438618525;3.5755506482044837;3.562374846721471;4.509392291763795;5.890171216538135;6.347451761737384;7.228707220326443;4.914644874194323;4.303115006033843;4.167099190003359;4.970924399700682;5.580708723548675;5.833123823210755;5.915948659464748;6.413320421956667;7.226247946333573;7.7692142558846164;8.46661602482126;8.505462112988189;9.267614517746134;10.237006145573416;7.185547826879024;6.690204792514379;6.696765114975665;6.518084729324288;6.413320421956667;6.299116136893574;5.980914592739941;5.193565998478883;4.700730479955106;5.170862149013055;5.113817242404441;5.374735653406331;5.97461531306864;8.79778868054724;8.85777623752082;8.048928075000548;8.85777623752082;12.23018637049478;18.7813306811204;20.547563572771175;
Pefkakia;13.549079690028314;12.646200215778217;10.965263072008543;9.712550384641407;9.072557020053118;8.4436105354437;7.171892214029386;7.107237717658577;6.423941409081715;5.206522727829516;4.81180588321028;3.8164114479184774;3.3975769969265017;2.4003126309279024;1.926499920377169;0.6716702486927457;0.0;0.6401897074011388;2.906029190718212;2.9723272462193626;3.9252710359940153;5.258915125295939;5.687289039778975;6.560045866699987;5.579168705645086;4.971348925553808;4.81180588321028;5.607126006763605;6.204870898983722;6.423941409081715;6.477657836558585;6.955346248656466;7.789977684470242;8.339655580057633;9.023602504419193;9.037083162406923;9.78500534187533;10.73756794353368;7.854632060199885;7.360897852595914;7.3355212686069455;7.107237717658577;6.955346248656466;6.775790541539863;6.417316499011557;5.581762108859705;5.015301369762108;5.35121333626001;5.180156053690502;5.302176347983573;5.792767233418651;8.405122725578396;8.464436201714799;7.666726448796592;8.464436201714799;12.022319354806044;18.79237602054789;20.397287045070268;
Nea Ionia;14.188175745826298;13.284638040341191;11.60160672223349;10.340192770180925;9.708038023790424;9.062987045293877;7.7816544092750535;7.701108946017073;7.019890386486817;5.809249879255733;5.44229220163774;4.44836803729597;4.03295571407741;3.040271672275207;2.566684037678234;1.3108498438618525;0.6401897074011388;0.0;2.2658826721074363;2.4830292910060017;3.431208749956943;4.690224575636298;5.074030413190213;5.931045197673253;6.20606279855647;5.611469498421692;5.44229220163774;6.2324107878288695;6.822530672100676;7.019890386486817;7.053661761543396;7.516418720673173;8.365122048932939;8.918885034555906;9.592235377807022;9.586805743016473;10.32284797404469;11.261079636509907;8.487023688553064;8.000871569654368;7.96133085073339;7.701108946017073;7.516418720673173;7.2892954072544525;6.901748635551182;6.034058365763672;5.415342197230444;5.637822348132274;5.369791451616969;5.3616576122716495;5.738399510131469;8.109642481419948;8.167956926913785;7.3863466318998245;8.167956926913785;11.905544314896114;18.875177388920193;20.323502208300898;
Iraklio;16.449234143401057;15.547147787839444;13.859215253489191;12.576356521014405;11.963962488038975;11.279594135608905;9.977186928656174;9.857995066349574;9.185006718256634;7.996270589272622;7.690031347588489;6.700486351425921;6.291674515557711;5.306080058267361;4.832512011583406;3.5755506482044837;2.906029190718212;2.2658826721074363;0.0;1.8459130802859172;2.3735584096551907;2.948680377605058;3.0110244752880906;3.7449886507854457;8.436580509889968;7.877351799510434;7.690031347588489;8.467784754991838;9.039406244612834;9.185006718256634;9.170530388133454;9.59297184127755;10.471616064385348;11.0330937242359;11.675345983032893;11.619334276137554;12.318502980231035;13.211052742763318;10.729054103566781;10.265474641136569;10.19523765004854;9.857995066349574;9.59297184127755;9.248222904791653;8.792775290561211;7.863385418763674;7.1358515580942035;7.057525913461724;6.542139601161265;6.1557131100370315;6.134909608037612;7.450996724082742;7.502497408774988;6.827064467197689;7.502497408774988;11.795711944855789;19.36513045398079;20.25343064319967;
Irini;16.133605429418534;15.035401872602506;13.310280242805511;11.916801432728764;11.42233387246797;10.563751418983832;9.221350013797103;9.010671786059175;8.371969571019973;7.271125638440459;7.185667907737598;6.259331464261554;5.91535660387552;5.087483077824008;4.666850830061073;3.562374846721471;2.9723272462193626;2.4830292910060017;1.8459130802859172;0.0;0.9532775937471781;2.394286187546545;3.076401387958215;4.093743967723742;8.387085106997372;7.562128035776827;7.185667907737598;7.881265082399051;8.369312948261207;8.371969571019973;8.260112115089234;8.603024207773712;9.51305988155025;10.078036429296628;10.656207457340594;10.524246724264799;11.163597441725651;11.989306019217423;10.594794149291229;9.95514233365419;9.562363990693044;9.010671786059175;8.603024207773712;8.104376438608357;7.584316441812022;6.621852905820779;5.8244985576732295;5.534114229404671;4.9066561915897395;4.390587171956351;4.296183899089339;5.834207231644382;5.889549349797792;5.157688893936862;5.889549349797792;10.01266381024964;17.51937805932485;18.477253767632845;
Neratziotissa;16.976571180392934;15.828173162613034;14.096957424271128;12.673517141273427;12.218376334798345;11.307992796761644;9.960218395705988;9.716751155110652;9.09687486909567;8.038391961376641;8.018844130261563;7.117000933502395;6.790657596730615;5.999032127212648;5.589846027768676;4.509392291763795;3.9252710359940153;3.431208749956943;2.3735584096551907;0.9532775937471781;0.0;1.5811366751449414;2.4463021439869808;3.4988623407657506;9.301924814041813;8.43581725162688;8.018844130261563;8.685789298182094;9.14413280608022;9.09687486909567;8.94743790236565;9.25215134828326;10.168293625057064;10.730515855628772;11.274931171910547;11.105900881992119;11.708635508279379;12.49045710029964;11.488787208046523;10.816885283527693;10.340356864487212;9.716751155110652;9.25215134828326;8.682236910144521;8.13240612179118;7.1650085394773075;6.339304633730231;5.890887675206072;5.162708659011125;4.464425700473399;4.137191004866137;5.083387772098067;5.135768264045087;4.453517171205522;5.135768264045087;9.451577321666074;17.172747303113592;17.898733245351004;
Maroussi;18.52344563235061;17.399186812784535;15.669538754896205;14.25212195504323;13.787727086839835;12.887884819420863;11.540399380253906;11.297780463880928;10.677781521565272;9.614024468919805;9.570133373441456;8.651476406806061;8.309629476771596;7.471763889433219;7.041640042411047;5.890171216538135;5.258915125295939;4.690224575636298;2.948680377605058;2.394286187546545;1.5811366751449414;0.0;1.0419932940349603;2.0496250052007743;10.764749426338662;9.956410924623938;9.570133373441456;10.250974271019022;10.71856824860606;10.677781521565272;10.52763897182756;10.82747985972982;11.744159577955994;12.30563394016316;12.84224269583022;12.662233761167073;13.250512701906837;14.011290389882072;12.985041738516756;12.34868754999107;11.914420328854657;11.297780463880928;10.82747985972982;10.240632668005686;9.681906472366368;8.715369060527918;7.8825311713227295;7.362699544873211;6.583065730412715;5.767904079296142;5.233038277613056;5.076491252790724;5.117012944962736;4.618931197979481;5.117012944962736;9.739553751339956;17.768642829331295;18.061739741248797;
KAT;19.144220499066854;18.093651587398817;16.372835646427838;14.990421110477905;14.48121329370505;13.63953828069697;12.297648935326473;12.084629154319508;11.448021952159896;10.344588723742255;10.224580913125497;9.275665536950909;8.908412424961785;8.009480685352717;7.557820053146313;6.347451761737384;5.687289039778975;5.074030413190213;3.0110244752880906;3.076401387958215;2.4463021439869808;1.0419932940349603;0.0;1.0531872796621966;11.261557866886477;10.547226339326127;10.224580913125497;10.939670087031157;11.440028821158432;11.448021952159896;11.32946434476525;11.658426641509527;12.571787791819867;13.135897383453166;13.697091152242706;13.540765049369263;14.151468559950223;14.936752994386218;13.521232583711413;12.950139418999415;12.631123443998412;12.084629154319508;11.658426641509527;11.116617551010993;10.573065558987587;9.605746024701597;8.783287225960622;8.323906450980616;7.568258092675002;6.785297500638823;6.273139888550116;5.932296422975246;5.967688356083361;5.53957240163618;5.967688356083361;10.640988388749165;18.737579506595385;18.89054981727688;
Kifissia;20.078313287065455;19.067405607391844;17.352190651427723;15.986948515422647;15.457638064604064;14.642895955449978;13.304560633192084;13.103096458407533;12.46090101252761;11.343111361466082;11.189069113209419;10.227980909834372;9.849222392877623;8.922350237638517;8.461711557287886;7.228707220326443;6.560045866699987;5.931045197673253;3.7449886507854457;4.093743967723742;3.4988623407657506;2.0496250052007743;1.0531872796621966;0.0;12.137088274625164;11.478471257375944;11.189069113209419;11.918812536317686;12.433012750884465;12.46090101252761;12.353847324866903;12.69187579088625;13.603701846470523;14.168330859810583;14.736378757699391;14.58584865634621;15.200712893531433;15.989016337873675;14.414250464202643;13.88150013141162;13.620432675876115;13.103096458407533;12.69187579088625;12.161867917058963;11.621386137367475;10.65423549693523;9.833594997459073;9.376088674549969;8.61592388694022;7.817002258187411;7.267391653097398;6.582996055981641;6.611563709154515;6.27822227762415;6.611563709154515;11.311560015133665;19.497411403598026;19.43425168441981;
Aghios Antonios;8.0837696481383;7.475883013241847;5.961944448159597;5.14898872707558;4.246668574955713;4.344845981197186;3.7223699163401442;4.105091911344967;3.677987019109645;3.1018935053905183;2.2018313396580265;2.5075272062908396;2.654672810694612;3.302949803654207;3.723109689661849;4.914644874194323;5.579168705645086;6.20606279855647;8.436580509889968;8.387085106997372;9.301924814041813;10.764749426338662;11.261557866886477;12.137088274625164;0.0;1.3579825734573305;2.2018313396580265;2.4610516105957787;2.9488683128737083;3.677987019109645;4.154460799125239;4.708789935444971;4.9654407001443035;5.274798390817156;6.009942104134588;6.36438735158425;7.162114656976254;8.183274006100518;2.3023691646762483;2.1512594401270735;3.2819795804667264;4.105091911344967;4.708789935444971;5.389762028262838;5.589640630546811;5.553089320521303;5.82600312020622;6.938345904745851;7.511091546576698;8.3649657303086;9.337806032754033;12.816761051298277;12.876946572406625;12.060468591866867;12.876946572406625;15.19853353409842;20.14368338313533;22.90178425869571;
Sepolia;8.600035736718128;7.689690865781518;6.03669460195642;4.919374522232796;4.167080973414934;3.828312870559279;2.8604035027927397;3.1141094331143386;2.5641788978369466;1.778864007512944;0.8451623002839137;1.343696447288935;1.6468283967398225;2.571530858202886;3.045032112876978;4.303115006033843;4.971348925553808;5.611469498421692;7.877351799510434;7.562128035776827;8.43581725162688;9.956410924623938;10.547226339326127;11.478471257375944;1.3579825734573305;0.0;0.8451623002839137;1.2877953257942283;1.9116580247989006;2.5641788978369466;2.9802010967847554;3.5619681213399734;3.9857464316698064;4.3883239750428125;5.144603655296558;5.41593928816116;6.2309653315115385;7.265632451664643;3.0900297370124705;2.403465305819542;2.6697593478993524;3.1141094331143386;3.5619681213399734;4.132514824617448;4.278493824277657;4.197915460747862;4.474387123616801;5.596061939501832;6.198054834989537;7.089565617315449;8.088879588518632;11.631651760801631;11.691353368674049;10.881009949571657;11.691353368674049;13.867319321972445;18.813139983356166;21.543803295730942;
